itemId;Item;Kategori
1;DR BRONNERS-Pure Castile Liquid Soap;Body Wash
2;Scarlett Whitening Shower Scrub - Pomegranate;Body Wash
3;BIORE-Experience Body Foam;Body Wash
4;EVERWHITE-Brightening Soap;Body Wash
5;LOVE BEAUTY AND PLANET-Majestic Glow Murumuru Butter & Rose Body Wash;Body Wash
6;Scarlett Whitening Shower Scrub- Mango;Body Wash
7;BIORE-Body Foam Pouch;Body Wash
8;LOVE BEAUTY AND PLANET-Tropical Refresh Coconut Oil & Ylang Ylang Body Wash;Body Wash
9;MUTOUCH-Goat's Milk Shower Cream English Lavender and Rosemary;Body Wash
10;BIORE-Beauty Body Foam Pouch;Body Wash
11;THE BATH BOX-Goats Don't Lie - Original;Body Wash
12;WARDAH-Nature Daily Aloe Hydramild Body Wash;Body Wash
13;DR BRONNERS-Pure Castile Bar Soap;Body Wash
14;DOVE-Deeply Nourishing Body Wash;Body Wash
15;LOVE BEAUTY AND PLANET-Petal Soft Coconut Water & Mimosa Flower Body Wash;Body Wash
16;Scarlett Whitening Body Scrub (LULUR) - Romansa;Body Scrub&Exfoliants
17;HERBORIST-Lulur Tradisional Bali;Body Scrub&Exfoliants
18;Scarlett Whitening Body Scrub (LULUR) - Pomegrante;Body Scrub&Exfoliants
19;WARDAH-Soft Body Scrub with Olive 240 ml;Body Scrub&Exfoliants
20;EMINA-Body Scrub Watermelon;Body Scrub&Exfoliants
21;WARDAH-Soft Body Scrub with Passion Fruit 150;Body Scrub&Exfoliants
22;Scarlett Whitening Body Scrub - Coffee;Body Scrub&Exfoliants
23;WARDAH  Soft Body Scrub with Olive 150 ml;Body Scrub&Exfoliants
24;EMINA-Body Scrub Kiwi;Body Scrub&Exfoliants
25;C LAB & CO-Coffee & Coconut Scrub Travel Size BAG;Body Scrub&Exfoliants
26;C LAB & CO-Coffee Scrub Travel Size BAG;Body Scrub&Exfoliants
27;HOLIKA HOLIKA-Enprani Smooth Skin Body Peeling;Body Scrub&Exfoliants
28;TIFF BODY-Coffee Turmeric Scrub in Butter;Body Scrub&Exfoliants
29;AZARINE-Body C Scrub 2 IN 1 Scrub & Mask C White;Body Scrub&Exfoliants
30;ELSHESKIN-Milk Body Scrub;Body Scrub&Exfoliants
31;VASELINE-Healthy Bright Vitamin Body Serum Soft Glow;Body Serum
32;NIVEA-Body Intensive Serum;Body Serum
33;NIVEA-Body Serum Extra White Care & Protect SPF 15;Body Serum
34;VASELINE-Superfood Skin Serum Cranberry;Body Serum
35;VASELINE-Healthy Bright Vitamin Body Serum Firm Glow;Body Serum
36;NIVEA-Extra White Instant Glow SPF33 Serum;Body Serum
37;SUGARPOT-Wonder Serum;Body Serum
38;VASELINE-Healthy Bright Vitamin Gel Serum Fresh Glow;Body Serum
39;WHITELAB-Brightening Body Serum;Body Serum
40;NIVEA-Hijab Whitening Cooling Fresh Body Serum;Body Serum
41;AZARINE-Lightening ToneUp Body Serum C White;Body Serum
42;NIVEA-Body Serum Extra White Anti Age;Body Serum
43;LOOLOO-Asiatica Brightening Serum;Body Serum
44;MUTOUCH-Whitening Body Serum Revitalizing Spray;Body Serum
45;MUTOUCH-Whitening Body Serum Hydrating Spray;Body Serum
46;VASELINE-Healthy Bright Body Lotion UV Lightening;Body Lotion
47;Scarlett Whitening Body Lotion - Romansa;Body Lotion
48;WARDAH-Aloe Hydramild Multifunction Gel 100 ml;Body Lotion
49;NIVEA-Body Intensive Lotion;Body Lotion
50;Scarlett Whitening Body Lotion - Freshy;Body Lotion
51;Scarlett Whitening Body Lotion - Jolly;Body Lotion
52;VASELINE-Intensive Care Body Lotion Aloe Soothe;Body Lotion
53;NIVEA-Body Extra White Repair & Protect Lotion 400Ml;Body Lotion
54;AVEENO-Daily Moisturizing Lotion;Body Lotion
55;NIVEA-Extra White Radiant & Smooth Lotion;Body Lotion
56;NIVEA-Extra White Night Nourish Lotion;Body Lotion
57;VASELINE-Healthy Bright Body Lotion Night Repair;Body Lotion
58;LOVE BEAUTY AND PLANET-Delicious Glow Murumuru Butter & Rose Body Lotion;Body Lotion
59;VASELINE-Healthy Bright Body Lotion Perfect 10;Body Lotion
60;VASELINE-Healthy Bright Body Lotion Insta Fair;Body Lotion
61;VASELINE-Sunblock SPF 30;Body Sunscreen
62;BANANA BOAT-Sport Sunscreen Lotion SPF 110;Body Sunscreen
63;NIVEA-Body Lotion Daily Protection Sun;Body Sunscreen
64;BANANA BOAT-Ultra Protect Ultramist SPF50;Body Sunscreen
65;NIVEA-Sun Lotion SPF 50;Body Sunscreen
66;BANANA BOAT-Sport Sunscreen Lotion SPF 50 - 90ml;Body Sunscreen
67;BANANA BOAT-Ultra Protect Sunscreen Lotion SPF 80 - 90ml;Body Sunscreen
68;BANANA BOAT-Ultra Protect Sunscreen Lotion SPF 50;Body Sunscreen
69;BANANA BOAT-Sport Sunscreen Lotion SPF 30 - 90ml;Body Sunscreen
70;BANANA BOAT-Sport SPF 50-Travel Size;Body Sunscreen
71;BANANA BOAT-Ultraprotect SPF 50-Travel Size;Body Sunscreen
72;BANANA BOAT-Sun Comfort Lotion SPF 50;Body Sunscreen
73;SENSATIA BOTANICALS-Surf Naked Sunscreen Lotion;Body Sunscreen
74;BANANA BOAT-Ultra Protect Sunscreen Lotion SPF 30;Body Sunscreen
75;Dew It On The Go - Sunscreen Mist;Body Sunscreen
